# Number, X_IMAGE, Y_IMAGE, MAG_AUTO, MAGGER_AUTO, FLAGS, FLAGS_WEIGHT, FWHM_IMAGE, BACKGROUND, ALPHA_J2000, DELTA_J2000
2,2378.0022,280.07095,-17.409870161743164,0.0036684175,0,0,1.4581541,-0.12472503,57.30042937278442,23.40852799966868
9,4370768,301.60327,-14.014562888183594,0.005273094,0,0,1.6319916,7.9305162,56.960677927152,23.409918787894156
6,1958.4385,270.00528,-11.905964,0.0047704848,0,0,1.8601071,83.1681,57.367271001403594,23.40432080858221
7,1594.6575,267.65875,-9.6630535,0.022510318,0,0,3.4633331,81.916466,57.42859719111894,23.403755271513543
8,2217.0032,275.6997,-12.189832,0.004177661,0,0,1.8429914,86.29299,57.323683437086,23.4053311859076
9,2772.5,259.45087,-9.921608,0.0124864,1,2,0.13015947,84.670235,57.23002476449502,23.403054429134137
10,2397.9382,275.13565,-9.380399,0.032584757,1,0,8.472682,89.1573,57.29317934254568,23.405327281179392
11,1264.6812,261.2577,-8.559815,0.033612333,1,2,4.9416504,81.79838,57.48422010559295,23.402560605625123
12,3840.0332,265.54654,-9.23173,0.029438155,1,0,5.1361747,101.38568,57.05004813805832,23.404296487771923
13,3775.0537,260.33524,-8.266632,0.032796375,1,2,3.6643107,110.82488,57.061002252581154,23.40347792409174
14,5371383,264.02533,-8.800923,0.023646984,1,2,1.7261293,86.67484,56.79186762558889,23.40413017908119
15,2765.6174,264.3292,-7.608171,0.061231323,0,0,1.9357967,84.649994,57.23118718428663,23.40380656231159
16,4014.0203,261.47604,-7.1494856,0.06792957,1,0,1.4454092,92.41721,57.02071394778652,23.403695930258795
17,6135167,268.60922,-7.73029,0.07050819,1,0,2.8619914,89.9054,56.66309580998896,23.404715289291648
18,926583,269.6481,-9.139893,0.020016486,0,0,1.8775333,81.648125,57.54122190007001,23.403628810319915
19,6687.3457,284.4728,-11.096436,0.0070868856,0,0,1.7262826,89.76279,56.56999576156197,23.407014161387504
20,3824194,273.54886,-8.499124,0.04027227,3,0,3.7571921,102.83931,57.052720211767564,23.405531622002936
21,7575.2495,277.1483,-7.635076,0.05093769,0,0,1.7645383,86.86223,56.42030513683363,23.405515438498984
22,1346.8259,275.57172,-7.090982,0.08102576,0,0,1.4461963,81.52093,57.47038248346696,23.4048277850296
23,7587.0,273.0,-8.183487,0.041080724,1,2,7.1107306,86.737495,56.41832642018186,23.404867869242647
24,8721922,284.8921,-8.358363,0.040328857,1,0,5.89471,87801,56.22698900322608,23.40603045421858
25,7902.0,275.0,-7.29423,0.08245423,1,2,7.1107306,87.00411,56.36522044126525,23.405012682833114
26,2863.8582,285.40445,-8.24405,0.03461706,0,0,1.6980608,84.89545,57.21463317657517,23.407103388721563
27,4455.1807,284.12988,-8.400759,0.02964606,0,0,1.7003318,86.26591,56.94633803948274,23.407250286304514
28,6229.2393,313.42715,-12.447604,0.0037024263,0,0,1.9231071,90.14853,56.647223219307946,23.41162661586503
29,8986886,285.60306,-7.4524198,0.06949141,0,0,2.0098193,87.781906,56.18232142011628,23.40594880543897
